Gene name,Strand,RefSeq mRNA ID,NCBI gene (formerly Entrezgene) ID
FCAR,1,NM_133269,2204
FCAR,1,NM_133278,2204
FCAR,1,NM_133274,2204
FCAR,1,NM_133272,2204
FCAR,1,NM_133277,2204
OPRL1,1,,4987
OPRL1,1,NM_001318854,4987
OPRL1,1,NM_001318855,4987
KIR2DP1,1,,
NPBWR2,-1,NM_005286,2832
MYT1,1,,4661
MYT1,1,NM_004535,4661
,1,,343052
GEMIN2P1,-1,,
GATAD2B,-1,NM_020699,57459
KRT20,-1,NM_019010,54474
KRT20,-1,,54474
KIR2DS4,1,NM_012314,3809
KRTAP3-1,-1,NM_031958,83896
KRTAP3-1,-1,,83896
KRTAP3-2,-1,NM_031959,83897
KRTAP4-9,1,NM_001146041,100132386
SLC27A3,1,,11000
SLC27A3,1,NM_024330,11000
SLC27A3,1,NM_001317929,11000
DNAH10,1,NM_207437,196385
DNAH10,1,NM_001372106,196385
DNAH10,1,,196385
KRTAP2-4,-1,NM_033184,85294
KIR3DL3,1,,115653
KRT23,-1,NM_015515,25984
KRT23,-1,NM_001282433,25984
KRT23,-1,,25984
KIR2DS5,1,NM_014513,3810
KIR2DL5B,1,NM_001018081,553128
KIR3DS1,1,NM_001083539,3813
KIR3DS1,1,NM_001282170,3813
KIR3DS1,1,NM_001282171,3813
KIR2DS1,1,NM_014512,3806
KIR2DL1,1,,3802
Y_RNA,-1,,
CCDC92,-1,,80212
CCDC92,-1,NM_001304958,80212
CCDC92,-1,NM_001304960,80212
CCDC92,-1,NM_001304959,80212
CCDC92,-1,NM_025140,80212
CCDC92,-1,NM_001304957,80212
CCDC92,-1,NM_001304961,80212
Metazoa_SRP,1,,
KIR2DL5A,1,NM_020535,57292
KRT40,-1,,125115
KRT40,-1,NM_182497,125115
KRT40,-1,NM_001385217,125115
LILRP1,-1,,
KIR3DS1,1,,3813
KRTAP1-1,-1,NM_030967,81851
,-1,,728279
KRTAP4-11,-1,NM_033059,653240
KRTAP2-5P,1,,
KRTAP1-3,-1,NM_030966,81850
KRTAP4-16,-1,,
KRT12,-1,NM_000223,3859
KRTAP1-5,-1,NM_031957,83895
KRT39,-1,NM_213656,390792
KRT39,-1,,390792
KRTAP3-4P,-1,,
KRTAP2-1,-1,NM_001123387,81872
KRTAP2-1,-1,,81872
KRTAP3-3,-1,NM_033185,85293
KRTAP2-3,-1,NM_001165252,730755
KRTAP4-12,-1,NM_031854,83755
KRTAP1-4,-1,NM_001257305,728255
,1,NM_001365252,100996750
KRTAP4-8,-1,NM_001322457,728224
KRTAP4-8,-1,,728224
LINC01839,1,,
LINC02054,1,,105374250
LINC00254,-1,,64735
HS3ST6,-1,NM_001009606,64711
MEIOB,-1,,254528
LINC02124,1,,105371048
U6,-1,,
KRT18P40,1,,
ZNF430,1,,80264
ZNF430,1,NM_025189,80264
ZNF430,1,NM_001172671,80264
SNTG2,1,NM_018968,54221
ZNF43,-1,NM_001256651,7594
ZNF43,-1,NM_001256654,7594
ZNF43,-1,NM_001256649,7594
ZNF43,-1,NM_003423,7594
ZNF43,-1,NM_001256650,7594
ZNF43,-1,NM_001256648,7594
ZNF43,-1,NM_001256653,7594
ZNF43,-1,,7594
ZNF100,-1,NM_001351672,163227
ZNF100,-1,NM_001351671,163227
ZNF100,-1,NM_001351670,163227
ZNF100,-1,NM_001351669,163227
ZNF100,-1,NM_173531,163227
ZNF100,-1,,163227
IMPDH1P5,-1,,
ADI1,-1,NM_001306077,55256
ADI1,-1,NM_018269,55256
DLG5,-1,,9231
DLG5,-1,NM_004747,9231
TRAPPC12,1,,51112
TRAPPC12,1,NM_016030,51112
TRAPPC12,1,NM_001321102,51112
PPIAL4F,1,NM_001164262,728945
CCNYL6,1,,641367
U1,-1,,
RNVU1-26,-1,,
RNVU1-2A,-1,,6063
BRI3BPP1,1,,641367
ZNF85,1,,7639
ZNF85,1,NM_001256172,7639
ZNF85,1,NM_001256171,7639
ZNF85,1,NM_003429,7639
ZNF85,1,NM_001256173,7639
VN1R84P,-1,,
MTDHP4,-1,,
PIWIL1,1,NM_004764,9271
PIWIL1,1,NM_001190971,9271
PIWIL1,1,,9271
RNU6-222P,-1,,
SNTG2,1,,54221
OR9G4,-1,NM_001005284,283189
OR5G3,-1,,
OR9G3P,1,,
OR5G1P,-1,,
OR5G4P,-1,,
OR5G5P,-1,,
BNIP3P24,-1,,
ZNF66,1,,7617
ZNF66,1,NM_001355197,7617
OR9G2P,-1,,
,-1,NM_001257362,100288966
,-1,,100288966
OR9G1,1,NM_001005213,390174
OR9G9,1,NM_001013358,504191
LINC02735,1,,101927120
RNA5-8SN5,1,,100008587
5_8S_rRNA,1,,
TPO,1,,7173
TPO,1,NM_000547,7173
TPO,1,NM_001206744,7173
TPO,1,NM_175721,7173
TPO,1,NM_175719,7173
TPO,1,NM_001206745,7173
TPO,1,NM_175722,7173
KRTAP9-9,1,NM_001318227,81870
KRTAP9-9,1,,81870
KRTAP9-2,1,NM_031961,83899
,-1,NM_001368249,102724788
,-1,NM_001368250,102724788
KRTAP9-4,1,NM_033191,85280
KRTAP9-3,1,NM_031962,83900
KCNQ2-AS1,1,,
KRTAP9-10P,1,,
KCNQ2,-1,,3785
KCNQ2,-1,NM_172106,3785
KCNQ2,-1,NM_001382235,3785
KCNQ2,-1,NM_172107,3785
KCNQ2,-1,NM_004518,3785
KCNQ2,-1,NM_172108,3785
KCNQ2,-1,NM_172109,3785
,1,,100507608
KRTAP29-1,-1,NM_001257309,100533177
KRTAP9-2,1,,83899
KRTAP9-6,1,NM_001277331,100507608
KRTAP9-7,1,NM_001277332,100505724
KRTAP9-12P,1,,
KRTAP9-11P,1,,
KRTAP9-9,1,NM_030975,81870
,1,NM_001368242,102724770
FTCD,-1,,10841
FTCD,-1,NM_206965,10841
FTCD,-1,NM_006657,10841
FTCD,-1,NM_001320412,10841
ANKRD18DP,-1,,348840
MREGP1,-1,,
RNU6-821P,-1,,
U6,1,,
SINHCAF,-1,,58516
SINHCAF,-1,NM_001135812,58516
SINHCAF,-1,NM_021238,58516
SINHCAF,-1,NM_001135811,58516
,-1,,284241
SUDS3P1,1,,
DLGAP2,1,,9228
FTCD-AS1,1,,
LSS,-1,NM_001001438,4047
LSS,-1,,4047
LSS,-1,NM_001145437,4047
LSS,-1,NM_002340,4047
LSS,-1,NM_001145436,4047
SBNO2,-1,NM_014963,22904
SBNO2,-1,NM_001100122,22904
SBNO2,-1,,22904
PROP1,-1,NM_006261,5626
CTDP1,1,NM_001318511,9150
CTDP1,1,NM_004715,9150
CTDP1,1,NM_048368,9150
CTDP1,1,NM_001202504,9150
CTDP1,1,,9150
RPS17,-1,NM_001021,6218
RPS17,-1,,6218
,1,,401442
ERICH1,-1,,157697
PRB1,-1,NM_006248,5542
PRB1,-1,,5542
PRB1,-1,NM_006248,653247
PRB1,-1,,653247
,1,NM_001360171,102725023
GARRE1,1,NM_014686,9710
GARRE1,1,,9710
LSM14A,1,NM_001384434,26065
LSM14A,1,NM_001384433,26065
LSM14A,1,NM_001384432,26065
LSM14A,1,NM_015578,26065
LSM14A,1,NM_001384420,26065
LSM14A,1,NM_001384421,26065
LSM14A,1,NM_001384427,26065
LSM14A,1,NM_001384425,26065
LSM14A,1,NM_001384424,26065
LSM14A,1,NM_001384436,26065
LSM14A,1,NM_001384429,26065
LSM14A,1,NM_001384422,26065
LSM14A,1,,26065
LSM14A,1,NM_001384431,26065
LSM14A,1,NM_001384430,26065
LSM14A,1,NM_001384437,26065
LSM14A,1,NM_001114093,26065
LSM14A,1,NM_001384428,26065
LSM14A,1,NM_001384426,26065
LSM14A,1,NM_001384435,26065
LSM14A,1,NM_001384423,26065
GOLGA6L10,-1,NM_001267536,643707
GOLGA6L10,-1,,643707
GOLGA6L10,-1,NM_001267536,647042
GOLGA6L10,-1,,647042
ZNF965P,1,,
DLG5-AS1,1,,
GXYLT1P1,-1,,
CYP4F34P,-1,,
CNN2P12,1,,
RN7SL284P,-1,,
RNU6-1266P,-1,,
SNX18P26,-1,,
DSEL-AS1,1,,643542
LINC00328-2P,1,,
ANKRD20A9P,-1,,
DSEL,-1,NM_032160,92126
RNU6-55P,-1,,
DNM1P38,-1,,
FLJ13224,1,,79857
CPEB1,-1,,64506
CPEB1,-1,NM_001387068,64506
CPEB1,-1,NM_001365250,64506
CPEB1,-1,NM_001079533,64506
CPEB1,-1,NM_001387064,64506
CPEB1,-1,NM_001387061,64506
CPEB1,-1,NM_001387066,64506
CPEB1,-1,NM_001387067,64506
CPEB1,-1,NM_001387063,64506
CPEB1,-1,NM_001387065,64506
CPEB1,-1,NM_001387062,64506
CPEB1,-1,NM_001365241,64506
CPEB1,-1,NM_001365242,64506
CPEB1,-1,NM_001365240,64506
CPEB1,-1,NM_030594,64506
CPEB1,-1,NM_001365243,64506
CPEB1,-1,NM_001288820,64506
CPEB1,-1,NM_001079534,64506
CPEB1,-1,NM_001387077,64506
CPEB1,-1,NM_001365248,64506
CPEB1,-1,NM_001387078,64506
CPEB1,-1,NM_001365249,64506
CPEB1,-1,NM_001079535,64506
CPEB1,-1,NM_001387074,64506
CPEB1,-1,NM_001387069,64506
CPEB1,-1,NM_001387070,64506
CPEB1,-1,NM_001387073,64506
CPEB1,-1,NM_001387071,64506
CPEB1,-1,NM_001365244,64506
CPEB1,-1,NM_001387076,64506
CPEB1,-1,NM_001288819,64506
CPEB1,-1,NM_001387075,64506
CPEB1,-1,NM_001365247,64506
CPEB1,-1,NM_001365245,64506
CPEB1,-1,NM_001365246,64506
CPEB1,-1,NM_001387072,64506
CRIM1,1,,51232
CRIM1,1,NM_016441,51232
RPL21P36,-1,,
CRIM1-DT,-1,,
,-1,,286083
SPATC1L,-1,NM_032261,84221
SPATC1L,-1,NM_001142854,84221
DLGAP2-AS1,-1,,100507435
DLGAP2,1,NM_001346810,9228
SLC45A2,-1,NM_016180,51151
SLC45A2,-1,NM_001012509,51151
SLC45A2,-1,,51151
SLC45A2,-1,NM_001297417,51151
ELMO2P1,1,,
GOLGA8DP,1,,100132979
RXFP3,1,NM_016568,51289
ADAMTS12,-1,,81792
ADAMTS12,-1,NM_030955,81792
ADAMTS12,-1,NM_001324512,81792
ADAMTS12,-1,NM_001324511,81792
GNG5P1,-1,,
,1,,101929297
,-1,NM_001347681,389831
,-1,NM_001242480,389831
CYFIP1,-1,,23191
CYFIP1,-1,NM_001033028,23191
CYFIP1,-1,NM_001324119,23191
CYFIP1,-1,NM_001324120,23191
CYFIP1,-1,NM_001324125,23191
CYFIP1,-1,NM_001324124,23191
CYFIP1,-1,NM_001324126,23191
CYFIP1,-1,NM_014608,23191
CYFIP1,-1,NM_001324122,23191
CYFIP1,-1,NM_001324123,23191
CYFIP1,-1,NM_001287810,23191
APOBEC3B-AS1,-1,,100874530
APOBEC3A,1,,200315
APOBEC3A,1,NM_001193289,200315
APOBEC3A,1,,100913187
APOBEC3A,1,NM_001193289,100913187
SEPTIN9-DT,-1,,105371907
AP2A2,1,,161
AP2A2,1,NM_001242837,161
AP2A2,1,NM_012305,161
PTCHD3,-1,NM_001034842,374308
PTCHD3,-1,,374308
ABCB10P1,1,,
SEPTIN9,1,,10801
SEPTIN9,1,NM_001113492,10801
FRG1-DT,-1,,728339
LINC01596,1,,105377617
RNU1-51P,-1,,
GOLGA6L22,1,,440243
GOLGA6L22,1,NM_001271664,440243
ODAD2P1,1,,
KRTAP5-2,-1,NM_001004325,440021
FAM210CP,-1,,
TRIAP1P1,-1,,
LINC02708,1,,
CNTNAP2,1,,26047
CNTNAP2,1,NM_014141,26047
FAM99B,-1,,100132464
FAM99A,1,,387742
KRTAP5-3,-1,NM_001012708,387266
KRTAP5-4,-1,NM_001347674,387267
KRTAP5-4,-1,,387267
KRTAP5-1,-1,NM_001005922,387264
GOLGA8EP,-1,,390535
KRTAP5-5,1,NM_001001480,439915
KRTAP5-AS1,1,,338651
TUBGCP5,-1,,114791
DUSP8,-1,NM_004420,1850
DUSP8,-1,,1850
ABCB11,-1,NM_003742,8647
ABCB11,-1,,8647
SKA1,1,NM_001039535,220134
SKA1,1,NM_145060,220134
SKA1,1,,220134
GOLGA6L1,-1,NM_001001413,283767
G6PC2,1,NM_021176,57818
G6PC2,1,NM_001081686,57818
G6PC2,1,,57818
HERC2P2,1,,
LRRC56,1,NM_198075,115399
DHX36,-1,,170506
DHX36,-1,NM_020865,170506
DHX36,-1,NM_001114397,170506
,1,,107987420
,1,,107987434
SMN2,1,NM_022876,6606
SMN2,1,NM_017411,6606
SMN2,1,,6606
SMN2,1,NM_022877,6606
SMN2,1,NM_022875,6606
SMN2,1,NM_022876,6607
SMN2,1,NM_017411,6607
SMN2,1,,6607
SMN2,1,NM_022877,6607
SMN2,1,NM_022875,6607
U3,1,,
LINC02549,-1,,101928280
SLC25A51P1,1,,
ADH5P4,-1,,
HERC2P7,-1,,
,-1,,102724151
SPATA31E3P,1,,
GOLGA8IP,-1,,283796
SPC25,-1,,57405
SPC25,-1,NM_020675,57405
METRNL,1,NM_001004431,284207
METRNL,1,,284207
METRNL,1,NM_001363853,284207
MAPK4,1,,5596
Metazoa_SRP,-1,,
RNA5SP458,1,,
ARHGEF26,1,,26084
ARHGEF26,1,NM_001251963,26084
ARHGEF26,1,NM_015595,26084
ARHGEF26,1,NM_001251962,26084
PHRF1,1,,57661
PHRF1,1,NM_001286581,57661
PHRF1,1,NM_020901,57661
PHRF1,1,NM_001286583,57661
PHRF1,1,NM_001286582,57661
MUC6,-1,,4588
MUC6,-1,NM_005961,4588
TUBGCP5,-1,NM_052903,114791
TUBGCP5,-1,NM_001354377,114791
TUBGCP5,-1,NM_001354374,114791
TUBGCP5,-1,NM_001354373,114791
TUBGCP5,-1,NM_001354372,114791
TUBGCP5,-1,NM_001354376,114791
TUBGCP5,-1,NM_001354375,114791
TUBGCP5,-1,NM_001102610,114791
TUBGCP5,-1,NM_001354378,114791
TBCD,1,NM_005993,6904
TBCD,1,,6904
RPS6P22,1,,
NOSTRIN,1,,115677
NOSTRIN,1,NM_001171631,115677
NOSTRIN,1,NM_001039724,115677
NOSTRIN,1,NM_001171632,115677
NOSTRIN,1,NM_052946,115677
RPL4P5,-1,,
U1,1,,
RNU6-1025P,1,,
ARHGEF26-AS1,-1,,100507524
MEGF11,-1,,84465
MEGF11,-1,NM_001385032,84465
MEGF11,-1,NM_001385030,84465
MEGF11,-1,NM_001385031,84465
MEGF11,-1,NM_001385029,84465
MEGF11,-1,NM_001385028,84465
MEGF11,-1,NM_001385033,84465
MEGF11,-1,NM_032445,84465
MEGF11,-1,NM_001387150,84465
MEGF11,-1,NM_001387151,84465
CDH12P2,-1,,
PMCHL2,1,,5370
GTF2H2,-1,NM_001364568,2966
GTF2H2,-1,NM_001364570,2966
GTF2H2,-1,NM_001364569,2966
GTF2H2,-1,,2966
GTF2H2,-1,NM_001364572,2966
GTF2H2,-1,NM_001364573,2966
GTF2H2,-1,NM_001515,2966
GTF2H2,-1,NM_001364567,2966
GTF2H2,-1,NM_001364571,2966
GTF2H2,-1,NM_001364568,728340
GTF2H2,-1,NM_001364570,728340
GTF2H2,-1,NM_001364569,728340
GTF2H2,-1,,728340
GTF2H2,-1,NM_001364572,728340
GTF2H2,-1,NM_001364573,728340
GTF2H2,-1,NM_001515,728340
GTF2H2,-1,NM_001364567,728340
GTF2H2,-1,NM_001364571,728340
PAXBP1,-1,,94104
PAXBP1,-1,NM_016631,94104
PAXBP1,-1,NM_013329,94104
LINC01659,1,,101929374
ZDHHC8P1,-1,,
C21orf62,-1,NM_019596,56245
C21orf62,-1,NM_001162496,56245
C21orf62,-1,,56245
C21orf62,-1,NM_001162495,56245
C21orf62-AS1,1,,
CES5AP1,-1,,
KRTAP5-6,1,NM_001012416,440023
SDHAP2,1,,
CYP2D8P,-1,,
FAM230I,-1,,388882
CYP2D7,-1,,
KRTAP5-4,-1,NM_001012709,387267
MUC20-OT1,1,,
LINC02557,-1,,
KRTAP5-5,1,,439915
GOLGA8F,1,,100132565
GOLGA8F,1,NM_001350920,100132565
B3GNTL1,-1,NM_001009905,146712
B3GNTL1,-1,NM_001320742,146712
B3GNTL1,-1,,146712
B3GNTL1,-1,NM_001320743,146712
DIS3L-AS1,-1,,
IFITM10,-1,,402778
IFITM10,-1,NM_001170820,402778
HERC2P11,-1,,
GOLGA8G,-1,,283768
GOLGA8G,-1,NM_001350919,283768
GOLGA8G,-1,NM_001368080,283768
GOLGA8G,-1,NM_001368078,283768
GART,-1,,2618
GART,-1,NM_001136005,2618
GART,-1,NM_001136006,2618
GART,-1,NM_000819,2618
DECR2,1,NM_020664,26063
DECR2,1,,26063
RPS5P3,-1,,
DNAJC28,-1,NM_001320746,54943
DNAJC28,-1,NM_001040192,54943
DNAJC28,-1,NM_017833,54943
DNAJC28,-1,,54943
KIF26B,1,,55083
IFNGR2,1,,3460
IFNGR2,1,NM_001329128,3460
IFNGR2,1,NM_005534,3460
OLA1P1,-1,,
NDUFA6,-1,NM_002490,4700
NDUFA6,-1,,4700
SNTB2,1,,6645
SNTB2,1,NM_006750,6645
LMNTD2,-1,,256329
LMNTD2,-1,NM_173573,256329
UTP4,1,,84916
UTP4,1,NM_032830,84916
UTP4,1,NM_001318391,84916
SMDT1,1,,91689
SMDT1,1,NM_033318,91689
CYP2D6,-1,,1565
CYP2D6,-1,NM_000106,1565
CYP2D6,-1,NM_001025161,1565
CYP2D6,-1,,107987478
CYP2D6,-1,NM_000106,107987478
CYP2D6,-1,NM_001025161,107987478
CYP2D6,-1,,107987479
CYP2D6,-1,NM_000106,107987479
CYP2D6,-1,NM_001025161,107987479
,-1,,100506688
NKD2,1,NM_033120,85409
NKD2,1,NM_001271082,85409
NKD2,1,,85409
,-1,NM_001365372,645202
MUC4,-1,,4585
MUC4,-1,NM_018406,4585
MUC4,-1,NM_004532,4585
MUC4,-1,NM_138297,4585
MIR210HG,-1,,
ABCB10P4,-1,,
CSPG4P10,1,,
,1,NM_001365373,100132202
RAB11FIP3,1,NM_014700,9727
RAB11FIP3,1,NM_001370401,9727
RAB11FIP3,1,,9727
RAB11FIP3,1,NM_001142272,9727
TMEM50B,-1,,757
TMEM50B,-1,NM_006134,757
RNH1,-1,,6050
RNH1,-1,NM_203383,6050
RNH1,-1,NM_002939,6050
RNH1,-1,NM_203388,6050
RNH1,-1,NM_203389,6050
RNH1,-1,NM_203386,6050
RNH1,-1,NM_203384,6050
RNH1,-1,NM_203387,6050
RNH1,-1,NM_203385,6050
GOLGA6L9,1,,440295
GOLGA6L9,1,NM_198181,440295
GOLGA6L9,1,NM_001291420,440295
HERC2,-1,,8924
TNFRSF14,1,NM_001297605,8764
TNFRSF14,1,,8764
TNFRSF14,1,NM_003820,8764
GOLGA6L17P,1,,
SLC12A7,-1,NM_006598,10723
SLC12A7,-1,,10723
Y_RNA,1,,
MUC20,1,,200958
MUC20,1,NM_152673,200958
OR2AS2P,1,,
OR2T6,1,NM_001005471,254879
OR2T2,1,NM_001004136,401992
GOLGA2P10,-1,,
OR2T4,1,NM_001004696,127074
OR2T7,1,NM_001386051,81458
OR2T7,1,NM_001386052,81458
OR2T1,1,NM_030904,26696
OR2T3,1,NM_001005495,343173
OR2T5,1,NM_001004697,401993
TCF20,-1,NM_005650,6942
TCF20,-1,NM_001378418,6942
TCF20,-1,NM_181492,6942
TCF20,-1,,6942
SERF1B,1,NM_001178087,8293
SERF1B,1,,8293
SERF1B,1,NM_022978,8293
SERF1B,1,NM_001178087,728492
SERF1B,1,,728492
SERF1B,1,NM_022978,728492
LINC00235,-1,,
CAPN15,1,NM_005632,6650
CAPN15,1,,6650
GOLGA6L10,-1,NM_001322400,647042
UBE2Q2P6,1,,
ADAMTS7P1,1,,
NDUFA6-DT,1,,
NAIP,-1,,4671
NAIP,-1,NM_004536,4671
NAIP,-1,NM_001346870,4671
NAIP,-1,NM_022892,4671
UBE2Q2P2,1,,100134869
DRD4,1,NM_000797,1815
DRD4,1,,1815
DEAF1,-1,NM_001367390,10522
DEAF1,-1,NM_021008,10522
DEAF1,-1,,10522
DEAF1,-1,NM_001293634,10522
TTC34,-1,,100287898
TTC34,-1,NM_001242672,100287898
MCCC2,1,,64087
MCCC2,1,NM_001363147,64087
MCCC2,1,NM_022132,64087
MMEL1,-1,,79258
MMEL1,-1,NM_033467,79258
IRF7,-1,,3665
IRF7,-1,NM_004029,3665
IRF7,-1,NM_001572,3665
IRF7,-1,NM_004031,3665
OR2W1,-1,NM_030903,26692
BDP1,1,NM_018429,55814
BDP1,1,,55814
NOP56P1,-1,,
OR14J1,1,NM_030946,442191
TRIM27,-1,NM_006510,5987
TRIM27,-1,,5987
OR8U9,1,NM_001013357,504190
OR8J2,-1,,
FAM8A2P,-1,,
LINC00824,-1,,
OR8U8,1,NM_001013356,504189
OR8L1P,1,,
MUC20,1,NM_001282506,200958
OR5T3,1,NM_001004747,390154
OR5T2,-1,NM_001004746,219464
ABR,-1,NM_001159746,29
ABR,-1,NM_001322841,29
ABR,-1,NM_001322840,29
ABR,-1,NM_021962,29
ABR,-1,,29
ABR,-1,NM_001282149,29
ABR,-1,NM_001092,29
ABR,-1,NM_001256847,29
OR8K2P,1,,
OR8I1P,-1,,
OR8K3,1,NM_001005202,219473
LILRA4,-1,,23547
LILRA4,-1,NM_012276,23547
OR8H1,-1,NM_001005199,219469
OR8H1,-1,,219469
OR5T1,1,NM_001004745,390155
RPL5P29,1,,
OR8K1,1,NM_001002907,390157
HRAS,-1,,3265
HRAS,-1,NM_176795,3265
HRAS,-1,NM_005343,3265
HRAS,-1,NM_001130442,3265
HRAS,-1,NM_001318054,3265
OR8J1,1,NM_001005205,219477
CLK2,-1,NM_003993,1196
CLK2,-1,NM_001294339,1196
CLK2,-1,NM_001294338,1196
CLK2,-1,,1196
CLK2,-1,NM_001363704,1196
LAIR1,-1,NM_001289025,3903
LAIR1,-1,NM_021706,3903
LAIR1,-1,,3903
LAIR1,-1,NM_002287,3903
LAIR1,-1,NM_001289027,3903
LAIR1,-1,NM_001289026,3903
LAIR1,-1,NM_001289023,3903
HCG14,1,,414760
RPL13P,1,,
ZNF311,-1,NM_001010877,282890
ZNF311,-1,NM_001350637,282890
ZNF311,-1,NM_001382360,282890
ZNF311,-1,,282890
MMEL1-AS1,1,,
PSMB1,-1,,5689
PANK4,-1,NM_018216,55229
PANK4,-1,,55229
FAM120B,1,NM_001286379,84498
FAM120B,1,NM_001286380,84498
FAM120B,1,NM_032448,84498
FAM120B,1,NM_001286381,84498
FAM120B,1,,84498
,1,,3806
LMNTD2-AS1,1,,692247
LINC01623,-1,,
LINC01015,1,,100507362
RASSF7,1,,8045
RASSF7,1,NM_001143993,8045
RASSF7,1,NM_003475,8045
RASSF7,1,NM_001143994,8045
OR2B3,-1,NM_001005226,442184
HCG22,1,,285834
LST1,1,NM_205838,7940
LST1,1,NM_205839,7940
LST1,1,,7940
LST1,1,NM_205837,7940
LST1,1,NM_205840,7940
LST1,1,NM_001166538,7940
LST1,1,NM_007161,7940
PKLR,-1,NM_181871,5313
PKLR,-1,NM_000298,5313
PKLR,-1,,5313
SMN1,1,,6606
SMN1,1,NM_000344,6606
SMN1,1,NM_001297715,6606
SMN1,1,NM_022874,6606
CDHR5,-1,,53841
CDHR5,-1,NM_031264,53841
CDHR5,-1,NM_001171968,53841
CDHR5,-1,NM_021924,53841
TARM1,-1,NM_001135686,441864
TARM1,-1,NM_001330650,441864
MBOAT7,-1,NM_024298,79143
MBOAT7,-1,NM_001146082,79143
MBOAT7,-1,NM_001146083,79143
MBOAT7,-1,NM_001146056,79143
CNOT3,1,NM_014516,4849
CNOT3,1,,4849
KIR2DL3,1,,3804
MTX1P1,1,,
LILRB2,-1,NM_005874,10288
LILRB2,-1,NM_001278404,10288
LILRB2,-1,,10288
LILRB2,-1,NM_001080978,10288
LILRB2,-1,NM_001278403,10288
LILRB2,-1,NM_001278405,10288
LILRB2,-1,NM_001278406,10288
PLCH2,1,NM_001303012,9651
PLCH2,1,,9651
PLCH2,1,NM_014638,9651
PLCH2,1,NM_001303013,9651
SCAMP3,-1,,10067
SCAMP3,-1,NM_005698,10067
SCAMP3,-1,NM_052837,10067
KIR2DS1,1,,3802
KIR2DS1,1,NM_014218,3802
LINC02197,-1,,
DLL1,-1,NM_005618,28514
DLL1,-1,,28514
AADACL2,1,,344752
AADACL2,1,NM_207365,344752
SERF1A,1,NM_022968,8293
SERF1A,1,NM_021967,8293
SERF1A,1,,8293
LINC02066,1,,
LINC01624,1,,401289
AADACL2-AS1,-1,,
,-1,,285804
RDH13,-1,NM_138412,112724
RDH13,-1,NM_001145971,112724
TSEN34,1,NM_024075,79042
TSEN34,1,NM_001386740,79042
TSEN34,1,NM_001077446,79042
TSEN34,1,NM_001282333,79042
TSEN34,1,NM_001282332,79042
ICE2P1,-1,,
GBA,-1,NM_000157,2629
GBA,-1,NM_001005742,2629
GBA,-1,NM_001005741,2629
GBA,-1,,2629
GBA,-1,NM_001171812,2629
GBA,-1,NM_001171811,2629
LINC01060,1,,401164
GP6,-1,NM_016363,51206
GP6,-1,NM_001083899,51206
GP6,-1,NM_001256017,51206
HES5,-1,NM_001010926,388585
HES5,-1,,388585
TNFRSF14-AS1,-1,,
PRXL2B,1,,127281
